"","Measure","Attribute","Value","Category","Date"
"1","Arrivals","Daily Average","33.68","Arrivals",2017-12-01
"2","Oceangoing Transits","Daily Average","33.77","Arrivals",2017-12-01
"3","Canal Waters Time (hours)","Daily Average","24.53","Arrivals",2017-12-01
"4","In-Transit Time (hours)","Daily Average","10.39","Arrivals",2017-12-01
"5","Arrivals","High","47","Arrivals",2017-12-01
"6","Oceangoing Transits","High","37","Arrivals",2017-12-01
"7","Canal Waters Time (hours)","High","38.53","Arrivals",2017-12-01
"8","In-Transit Time (hours)","High","13.59","Arrivals",2017-12-01
"9","Arrivals","Low","24","Arrivals",2017-12-01
"10","Oceangoing Transits","Low","28","Arrivals",2017-12-01
"11","Canal Waters Time (hours)","Low","18.67","Arrivals",2017-12-01
"12","In-Transit Time (hours)","Low","8.75","Arrivals",2017-12-01
"13","Arrivals","Daily Average","33.71","Arrivals",2016-12-01
"14","Oceangoing Transits","Daily Average","33.65","Arrivals",2016-12-01
"15","Canal Waters Time (hours)","Daily Average","28.90","Arrivals",2016-12-01
"16","In-Transit Time (hours)","Daily Average","11.20","Arrivals",2016-12-01
"17","Arrivals","High","53","Arrivals",2016-12-01
"18","Oceangoing Transits","High","39","Arrivals",2016-12-01
"19","Canal Waters Time (hours)","High","41.20","Arrivals",2016-12-01
"20","In-Transit Time (hours)","High","13.95","Arrivals",2016-12-01
"21","Arrivals","Low","19","Arrivals",2016-12-01
"22","Oceangoing Transits","Low","28","Arrivals",2016-12-01
"23","Canal Waters Time (hours)","Low","17.77","Arrivals",2016-12-01
"24","In-Transit Time (hours)","Low","8.85","Arrivals",2016-12-01
"25","Arrivals","Daily Average","32.81","Arrivals",2018-12-01
"26","Oceangoing Transits","Daily Average","32.71","Arrivals",2018-12-01
"27","Canal Waters Time (hours)","Daily Average","21.87","Arrivals",2018-12-01
"28","In-Transit Time (hours)","Daily Average","10.28","Arrivals",2018-12-01
"29","Arrivals","High","42","Arrivals",2018-12-01
"30","Oceangoing Transits","High","38","Arrivals",2018-12-01
"31","Canal Waters Time (hours)","High","27.92","Arrivals",2018-12-01
"32","In-Transit Time (hours)","High","11.67","Arrivals",2018-12-01
"33","Arrivals","Low","20","Arrivals",2018-12-01
"34","Oceangoing Transits","Low","22","Arrivals",2018-12-01
