"","Measure","Attribute","Value","Category","Date"
"1","Neopanamax Vessels (beam 107 and Over)","Available","217","Booking Slots",2017-12-01
"2","Large Vessels (beam 91' and over)","Available","465","Booking Slots",2017-12-01
"3","Regular Vessels (beam less than 91')","Available","248","Booking Slots",2017-12-01
"4","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2017-12-01
"5","Auctioned booking slots","Available","9","Booking Slots",2017-12-01
"6","Neopanamax Vessels (beam 107 and Over)","Used","171","Booking Slots",2017-12-01
"7","Large Vessels (beam 91' and over)","Used","3671","Booking Slots",2017-12-01
"8","Regular Vessels (beam less than 91')","Used","1791","Booking Slots",2017-12-01
"9","Regular Vessels (up to 300' in length)","Used","4","Booking Slots",2017-12-01
"10","Auctioned booking slots","Used","0","Booking Slots",2017-12-01
"11","Neopanamax Vessels (beam 107 and Over)","Percentage","7880","Booking Slots",2017-12-01
"12","Large Vessels (beam 91' and over)","Percentage","7892","Booking Slots",2017-12-01
"13","Regular Vessels (beam less than 91')","Percentage","7218","Booking Slots",2017-12-01
"14","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-12-01
"15","Auctioned booking slots","Percentage","000","Booking Slots",2017-12-01
"16","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2016-12-01
"17","Large Vessels (91' to 107’ beam)","Available","527","Booking Slots",2016-12-01
"18","Regular Vessels (beam less than 91')","Available","248","Booking Slots",2016-12-01
"19","Regular Vessels (up to 300' in length)","Available","3","Booking Slots",2016-12-01
"20","Auctioned booking slots","Available","15","Booking Slots",2016-12-01
"21","Neopanamax Vessels (beam 107' and over)","Used","140","Booking Slots",2016-12-01
"22","Large Vessels (91' to 107’ beam)","Used","4271","Booking Slots",2016-12-01
"23","Regular Vessels (beam less than 91')","Used","1931","Booking Slots",2016-12-01
"24","Regular Vessels (up to 300' in length)","Used","3","Booking Slots",2016-12-01
"25","Auctioned booking slots","Used","1","Booking Slots",2016-12-01
"26","Neopanamax Vessels (beam 107' and over)","Percentage","2775","Booking Slots",2016-12-01
"27","Large Vessels (91' to 107’ beam)","Percentage","8102","Booking Slots",2016-12-01
"28","Regular Vessels (beam less than 91')","Percentage","7782","Booking Slots",2016-12-01
"29","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2016-12-01
"30","Auctioned booking slots","Percentage","667","Booking Slots",2016-12-01
"31","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2018-12-01
"32","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2018-12-01
"33","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2018-12-01
"34","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2018-12-01
"35","Auctioned booking slots","Available","0","Booking Slots",2018-12-01
"36","Neopanamax Vessels (107’ beam and Over)","Used","194","Booking Slots",2018-12-01
"37","Large Vessels (91’ beam to under 107’ beam)","Used","2751","Booking Slots",2018-12-01
"38","Regular Vessels (less than 91' beam)","Used","1401","Booking Slots",2018-12-01
"39","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2018-12-01
"40","Auctioned booking slots","Used","0","Booking Slots",2018-12-01
"41","Neopanamax Vessels (107’ beam and Over)","Percentage","7823","Booking Slots",2018-12-01
"42","Large Vessels (91’ beam to under 107’ beam)","Percentage","5914","Booking Slots",2018-12-01
"43","Regular Vessels (less than 91' beam)","Percentage","5645","Booking Slots",2018-12-01
"44","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2018-12-01
"45","Auctioned booking slots","Percentage","0","Booking Slots",2018-12-01
"46","Neopanamax Vessels (beam 107 and Over)","Available","217","Booking Slots",2018-01-01
"47","Large Vessels (beam 91' and over)","Available","465","Booking Slots",2018-01-01
"48","Regular Vessels (beam less than 91')","Available","248","Booking Slots",2018-01-01
"49","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2018-01-01
"50","Auctioned booking slots","Available","7","Booking Slots",2018-01-01
"51","Neopanamax Vessels (beam 107 and Over)","Used","172","Booking Slots",2018-01-01
"52","Large Vessels (beam 91' and over)","Used","3581","Booking Slots",2018-01-01
"53","Regular Vessels (beam less than 91')","Used","1711","Booking Slots",2018-01-01
"54","Regular Vessels (up to 300' in length)","Used","4","Booking Slots",2018-01-01
"55","Auctioned booking slots","Used","1","Booking Slots",2018-01-01
"56","Neopanamax Vessels (beam 107 and Over)","Percentage","7926","Booking Slots",2018-01-01
"57","Large Vessels (beam 91' and over)","Percentage","7699","Booking Slots",2018-01-01
"58","Regular Vessels (beam less than 91')","Percentage","6895","Booking Slots",2018-01-01
"59","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-01-01
"60","Auctioned booking slots","Percentage","1429","Booking Slots",2018-01-01
"61","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-01-01
"62","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2019-01-01
"63","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2019-01-01
"64","Regular Vessels (up to 300' in length)","Available","5","Booking Slots",2019-01-01
"65","Auctioned booking slots","Available","2","Booking Slots",2019-01-01
"66","Neopanamax Vessels (107’ beam and Over)","Used","189","Booking Slots",2019-01-01
"67","Large Vessels (91’ beam to under 107’ beam)","Used","3411","Booking Slots",2019-01-01
"68","Regular Vessels (less than 91' beam)","Used","1661","Booking Slots",2019-01-01
"69","Regular Vessels (up to 300' in length)","Used","5","Booking Slots",2019-01-01
"70","Auctioned booking slots","Used","0","Booking Slots",2019-01-01
"71","Neopanamax Vessels (107’ beam and Over)","Percentage","7621","Booking Slots",2019-01-01
"72","Large Vessels (91’ beam to under 107’ beam)","Percentage","7333","Booking Slots",2019-01-01
"73","Regular Vessels (less than 91' beam)","Percentage","6694","Booking Slots",2019-01-01
"74","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2019-01-01
"75","Auctioned booking slots","Percentage","0","Booking Slots",2019-01-01
"76","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2017-01-01
"77","Large Vessels (91' to 107’ beam)","Available","482","Booking Slots",2017-01-01
"78","Regular Vessels (beam less than 91')","Available","242","Booking Slots",2017-01-01
"79","Regular Vessels (up to 300' in length)","Available","10","Booking Slots",2017-01-01
"80","Auctioned booking slots","Available","26","Booking Slots",2017-01-01
"81","Neopanamax Vessels (beam 107' and over)","Used","145","Booking Slots",2017-01-01
"82","Large Vessels (91' to 107’ beam)","Used","4511","Booking Slots",2017-01-01
"83","Regular Vessels (beam less than 91')","Used","2151","Booking Slots",2017-01-01
"84","Regular Vessels (up to 300' in length)","Used","10","Booking Slots",2017-01-01
"85","Auctioned booking slots","Used","23","Booking Slots",2017-01-01
"86","Neopanamax Vessels (beam 107' and over)","Percentage","7796","Booking Slots",2017-01-01
"87","Large Vessels (91' to 107’ beam)","Percentage","9357","Booking Slots",2017-01-01
"88","Regular Vessels (beam less than 91')","Percentage","8884","Booking Slots",2017-01-01
"89","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-01-01
"90","Auctioned booking slots","Percentage","8846","Booking Slots",2017-01-01
"91","Neopanamax Vessels (107’ beam and Over)","Available","196","Booking Slots",2018-02-01
"92","Large Vessels (91’ beam to under 107’ beam)","Available","420","Booking Slots",2018-02-01
"93","Regular Vessels (less than 91' beam)","Available","224","Booking Slots",2018-02-01
"94","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2018-02-01
"95","Auctioned booking slots","Available","9","Booking Slots",2018-02-01
"96","Neopanamax Vessels (107’ beam and Over)","Used","157","Booking Slots",2018-02-01
"97","Large Vessels (91’ beam to under 107’ beam)","Used","3171","Booking Slots",2018-02-01
"98","Regular Vessels (less than 91' beam)","Used","1641","Booking Slots",2018-02-01
"99","Regular Vessels (up to 300' in length)","Used","4","Booking Slots",2018-02-01
"100","Auctioned booking slots","Used","0","Booking Slots",2018-02-01
"101","Neopanamax Vessels (107’ beam and Over)","Percentage","8010","Booking Slots",2018-02-01
"102","Large Vessels (91’ beam to under 107’ beam)","Percentage","7548","Booking Slots",2018-02-01
"103","Regular Vessels (less than 91' beam)","Percentage","7321","Booking Slots",2018-02-01
"104","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-02-01
"105","Auctioned booking slots","Percentage","00","Booking Slots",2018-02-01
"106","Neopanamax Vessels (107’ beam and Over)","Available","224","Booking Slots",2019-02-01
"107","Large Vessels (91’ beam to under 107’ beam)","Available","420","Booking Slots",2019-02-01
"108","Regular Vessels (less than 91' beam)","Available","224","Booking Slots",2019-02-01
"109","Regular Vessels (up to 300' in length)","Available","3","Booking Slots",2019-02-01
"110","Auctioned booking slots","Available","6","Booking Slots",2019-02-01
"111","Neopanamax Vessels (107’ beam and Over)","Used","155","Booking Slots",2019-02-01
"112","Large Vessels (91’ beam to under 107’ beam)","Used","3021","Booking Slots",2019-02-01
"113","Regular Vessels (less than 91' beam)","Used","1461","Booking Slots",2019-02-01
"114","Regular Vessels (up to 300' in length)","Used","2","Booking Slots",2019-02-01
"115","Auctioned booking slots","Used","1","Booking Slots",2019-02-01
"116","Neopanamax Vessels (107’ beam and Over)","Percentage","6920","Booking Slots",2019-02-01
"117","Large Vessels (91’ beam to under 107’ beam)","Percentage","7191","Booking Slots",2019-02-01
"118","Regular Vessels (less than 91' beam)","Percentage","6518","Booking Slots",2019-02-01
"119","Regular Vessels (up to 300' in length)","Percentage","6667","Booking Slots",2019-02-01
"120","Auctioned booking slots","Percentage","1667","Booking Slots",2019-02-01
"121","Neopanamax Vessels (beam 107' and over)","Available","168","Booking Slots",2017-02-01
"122","Large Vessels (91' to 107’ beam)","Available","420","Booking Slots",2017-02-01
"123","Regular Vessels (beam less than 91')","Available","224","Booking Slots",2017-02-01
"124","Regular Vessels (up to 300' in length)","Available","3","Booking Slots",2017-02-01
"125","Auctioned booking slots","Available","27","Booking Slots",2017-02-01
"126","Neopanamax Vessels (beam 107' and over)","Used","148","Booking Slots",2017-02-01
"127","Large Vessels (91' to 107’ beam)","Used","4041","Booking Slots",2017-02-01
"128","Regular Vessels (beam less than 91')","Used","1841","Booking Slots",2017-02-01
"129","Regular Vessels (up to 300' in length)","Used","3","Booking Slots",2017-02-01
"130","Auctioned booking slots","Used","14","Booking Slots",2017-02-01
"131","Neopanamax Vessels (beam 107' and over)","Percentage","8810","Booking Slots",2017-02-01
"132","Large Vessels (91' to 107’ beam)","Percentage","9619","Booking Slots",2017-02-01
"133","Regular Vessels (beam less than 91')","Percentage","8214","Booking Slots",2017-02-01
"134","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-02-01
"135","Auctioned booking slots","Percentage","5185","Booking Slots",2017-02-01
"136","Neopanamax Vessels (107’ beam and Over)","Available","217","Booking Slots",2018-03-01
"137","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2018-03-01
"138","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2018-03-01
"139","Regular Vessels (up to 300' in length)","Available","8","Booking Slots",2018-03-01
"140","Auctioned booking slots","Available","11","Booking Slots",2018-03-01
"141","Neopanamax Vessels (107’ beam and Over)","Used","160","Booking Slots",2018-03-01
"142","Large Vessels (91’ beam to under 107’ beam)","Used","3751","Booking Slots",2018-03-01
"143","Regular Vessels (less than 91' beam)","Used","1971","Booking Slots",2018-03-01
"144","Regular Vessels (up to 300' in length)","Used","7","Booking Slots",2018-03-01
"145","Auctioned booking slots","Used","4","Booking Slots",2018-03-01
"146","Neopanamax Vessels (107’ beam and Over)","Percentage","7373","Booking Slots",2018-03-01
"147","Large Vessels (91’ beam to under 107’ beam)","Percentage","8065","Booking Slots",2018-03-01
"148","Regular Vessels (less than 91' beam)","Percentage","7944","Booking Slots",2018-03-01
"149","Regular Vessels (up to 300' in length)","Percentage","8750","Booking Slots",2018-03-01
"150","Auctioned booking slots","Percentage","3636","Booking Slots",2018-03-01
"151","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-03-01
"152","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2019-03-01
"153","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2019-03-01
"154","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2019-03-01
"155","Auctioned booking slots","Available","8","Booking Slots",2019-03-01
"156","Neopanamax Vessels (107’ beam and Over)","Used","181","Booking Slots",2019-03-01
"157","Large Vessels (91’ beam to under 107’ beam)","Used","3071","Booking Slots",2019-03-01
"158","Regular Vessels (less than 91' beam)","Used","1891","Booking Slots",2019-03-01
"159","Regular Vessels (up to 300' in length)","Used","4","Booking Slots",2019-03-01
"160","Auctioned booking slots","Used","0","Booking Slots",2019-03-01
"161","Neopanamax Vessels (107’ beam and Over)","Percentage","7298","Booking Slots",2019-03-01
"162","Large Vessels (91’ beam to under 107’ beam)","Percentage","6602","Booking Slots",2019-03-01
"163","Regular Vessels (less than 91' beam)","Percentage","7621","Booking Slots",2019-03-01
"164","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2019-03-01
"165","Auctioned booking slots","Percentage","0000","Booking Slots",2019-03-01
"166","Neopanamax Vessels (107’ beam and Over)","Available","210","Booking Slots",2018-04-01
"167","Large Vessels (91’ beam to under 107’ beam)","Available","448","Booking Slots",2018-04-01
"168","Regular Vessels (less than 91' beam)","Available","238","Booking Slots",2018-04-01
"169","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2018-04-01
"170","Auctioned booking slots","Available","15","Booking Slots",2018-04-01
"171","Neopanamax Vessels (107’ beam and Over)","Used","132","Booking Slots",2018-04-01
"172","Large Vessels (91’ beam to under 107’ beam)","Used","3801","Booking Slots",2018-04-01
"173","Regular Vessels (less than 91' beam)","Used","1551","Booking Slots",2018-04-01
"174","Regular Vessels (up to 300' in length)","Used","1","Booking Slots",2018-04-01
"175","Auctioned booking slots","Used","6","Booking Slots",2018-04-01
"176","Neopanamax Vessels (107’ beam and Over)","Percentage","6286","Booking Slots",2018-04-01
"177","Large Vessels (91’ beam to under 107’ beam)","Percentage","8065","Booking Slots",2018-04-01
"178","Regular Vessels (less than 91' beam)","Percentage","7944","Booking Slots",2018-04-01
"179","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-04-01
"180","Auctioned booking slots","Percentage","4000","Booking Slots",2018-04-01
"181","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2017-03-01
"182","Large Vessels (91' to 107’ beam)","Available","463","Booking Slots",2017-03-01
"183","Regular Vessels (beam less than 91')","Available","246","Booking Slots",2017-03-01
"184","Regular Vessels (up to 300' in length)","Available","8","Booking Slots",2017-03-01
"185","Auctioned booking slots","Available","18","Booking Slots",2017-03-01
"186","Neopanamax Vessels (beam 107' and over)","Used","145","Booking Slots",2017-03-01
"187","Large Vessels (91' to 107’ beam)","Used","3981","Booking Slots",2017-03-01
"188","Regular Vessels (beam less than 91')","Used","2031","Booking Slots",2017-03-01
"189","Regular Vessels (up to 300' in length)","Used","8","Booking Slots",2017-03-01
"190","Auctioned booking slots","Used","6","Booking Slots",2017-03-01
"191","Neopanamax Vessels (beam 107' and over)","Percentage","7796","Booking Slots",2017-03-01
"192","Large Vessels (91' to 107’ beam)","Percentage","8596","Booking Slots",2017-03-01
"193","Regular Vessels (beam less than 91')","Percentage","8552","Booking Slots",2017-03-01
"194","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-03-01
