"","Measure","Attribute","Value","Category","Date"
"1","Vessels of less than 91´ beam","Total","257","Oceangoing Transits",2017-12-01
"2","Vessels 91´ beam to under 107’ beam","Total","594","Oceangoing Transits",2017-12-01
"3","Neopanamax Vessels (beam107’ and over)","Total","196","Oceangoing Transits",2017-12-01
"4","Total:","Total","1047","Oceangoing Transits",2017-12-01
"5","Vessels of less than 91´ beam","Daily Average","8.29","Oceangoing Transits",2017-12-01
"6","Vessels 91´ beam to under 107’ beam","Daily Average","19.16","Oceangoing Transits",2017-12-01
"7","Neopanamax Vessels (beam107’ and over)","Daily Average","6.32","Oceangoing Transits",2017-12-01
"8","Total:","Daily Average","33.77","Oceangoing Transits",2017-12-01
"9","Vessels of less than 91´ beam","Percentage","24.55","Oceangoing Transits",2017-12-01
"10","Vessels 91´ beam to under 107’ beam","Percentage","56.73","Oceangoing Transits",2017-12-01
"11","Neopanamax Vessels (beam107’ and over)","Percentage","18.72","Oceangoing Transits",2017-12-01
"12","Total:","Percentage","100","Oceangoing Transits",2017-12-01
"13","Vessels of less than 91´ beam","Total","257","Oceangoing Transits",2016-12-01
"14","Vessels 91´ beam to under 107’ beam","Total","632","Oceangoing Transits",2016-12-01
"15","Neopanamax Vessels (beam107’ and over)","Total","154","Oceangoing Transits",2016-12-01
"16","Total:","Total","1043","Oceangoing Transits",2016-12-01
"17","Vessels of less than 91´ beam","Daily Average","8.29","Oceangoing Transits",2016-12-01
"18","Vessels 91´ beam to under 107’ beam","Daily Average","20.39","Oceangoing Transits",2016-12-01
"19","Neopanamax Vessels (beam107’ and over)","Daily Average","4.97","Oceangoing Transits",2016-12-01
"20","Total:","Daily Average","33.65","Oceangoing Transits",2016-12-01
"21","Vessels of less than 91´ beam","Percentage","24.64%","Oceangoing Transits",2016-12-01
"22","Vessels 91´ beam to under 107’ beam","Percentage","60.59%","Oceangoing Transits",2016-12-01
"23","Neopanamax Vessels (beam107’ and over)","Percentage","14.77%","Oceangoing Transits",2016-12-01
"24","Total:","Percentage","100%","Oceangoing Transits",2016-12-01
"25","Vessels of less than 91’ beam","Total","230","Oceangoing Transits",2018-12-01
"26","Vessels 91’ beam to under 107’ beam","Total","538","Oceangoing Transits",2018-12-01
"27","Neopanamax Vessels (107’ beam and over)","Total","245","Oceangoing Transits",2018-12-01
"28","Total:","Total","1,014","Oceangoing Transits",2018-12-01
"29","Vessels of less than 91’ beam","Daily Average","7.42","Oceangoing Transits",2018-12-01
"30","Vessels 91’ beam to under 107’ beam","Daily Average","17.35","Oceangoing Transits",2018-12-01
"31","Neopanamax Vessels (107’ beam and over)","Daily Average","7.90","Oceangoing Transits",2018-12-01
"32","Total:","Daily Average","32.71","Oceangoing Transits",2018-12-01
"33","Vessels of less than 91’ beam","Percentage","22.70","Oceangoing Transits",2018-12-01
"34","Vessels 91’ beam to under 107’ beam","Percentage","53.11","Oceangoing Transits",2018-12-01
"35","Neopanamax Vessels (107’ beam and over)","Percentage","24.19","Oceangoing Transits",2018-12-01
"36","Total:","Percentage","100","Oceangoing Transits",2018-12-01
"37","Vessels of less than 91´ beam","Total","258","Oceangoing Transits",2018-01-01
"38","Vessels 91´ beam to under 107’ beam","Total","581","Oceangoing Transits",2018-01-01
"39","Neopanamax Vessels (beam107’ and over)","Total","211","Oceangoing Transits",2018-01-01
"40","Total:","Total","1050","Oceangoing Transits",2018-01-01
"41","Vessels of less than 91´ beam","Daily Average","8.32","Oceangoing Transits",2018-01-01
"42","Vessels 91´ beam to under 107’ beam","Daily Average","18.74","Oceangoing Transits",2018-01-01
"43","Neopanamax Vessels (beam107’ and over)","Daily Average","6.81","Oceangoing Transits",2018-01-01
"44","Total:","Daily Average","33.87","Oceangoing Transits",2018-01-01
"45","Vessels of less than 91´ beam","Percentage","24.57","Oceangoing Transits",2018-01-01
"46","Vessels 91´ beam to under 107’ beam","Percentage","55.33","Oceangoing Transits",2018-01-01
"47","Neopanamax Vessels (beam107’ and over)","Percentage","20.10","Oceangoing Transits",2018-01-01
"48","Total:","Percentage","100","Oceangoing Transits",2018-01-01
"49","Vessels of less than 91’ beam","Total","233","Oceangoing Transits",2019-01-01
"50","Vessels 91’ beam to under 107’ beam","Total","606","Oceangoing Transits",2019-01-01
"51","Neopanamax Vessels (107’ beam and over)","Total","233","Oceangoing Transits",2019-01-01
"52","Total:","Total","1,072","Oceangoing Transits",2019-01-01
"53","Vessels of less than 91’ beam","Daily Average","7.52","Oceangoing Transits",2019-01-01
"54","Vessels 91’ beam to under 107’ beam","Daily Average","19.55","Oceangoing Transits",2019-01-01
"55","Neopanamax Vessels (107’ beam and over)","Daily Average","7.52","Oceangoing Transits",2019-01-01
"56","Total:","Daily Average","34.58","Oceangoing Transits",2019-01-01
"57","Vessels of less than 91’ beam","Percentage","21.74","Oceangoing Transits",2019-01-01
"58","Vessels 91’ beam to under 107’ beam","Percentage","56.53","Oceangoing Transits",2019-01-01
"59","Neopanamax Vessels (107’ beam and over)","Percentage","21.74","Oceangoing Transits",2019-01-01
"60","Total:","Percentage","100","Oceangoing Transits",2019-01-01
"61","Vessels of less than 91´ beam","Total","289","Oceangoing Transits",2017-01-01
"62","Vessels 91´ beam to under 107’ beam","Total","662","Oceangoing Transits",2017-01-01
